=> snapshot time : 7 <ALLOCATTING> , with memory size = 960.
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 640 <DEALLOCATTING> 
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (1) : < 256 > [ 768 | 1023 ] -> [NULL]
=> snapshot time : 640 <ALLOCATTING> , with memory size = 79.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 646 <DEALLOCATTING> 
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (1) : < 256 > [ 768 | 1023 ] -> [NULL]
=> snapshot time : 646 <ALLOCATTING> , with memory size = 79.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 669 <DEALLOCATTING> 
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (1) : < 256 > [ 768 | 1023 ] -> [NULL]
=> snapshot time : 669 <ALLOCATTING> , with memory size = 79.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 690 <DEALLOCATTING> 
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (1) : < 256 > [ 768 | 1023 ] -> [NULL]
=> snapshot time : 690 <ALLOCATTING> , with memory size = 79.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 710 <DEALLOCATTING> 
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (1) : < 256 > [ 768 | 1023 ] -> [NULL]
=> snapshot time : 710 <ALLOCATTING> , with memory size = 79.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 720 <DEALLOCATTING> 
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (1) : < 256 > [ 768 | 1023 ] -> [NULL]
=> snapshot time : 720 <ALLOCATTING> , with memory size = 79.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 730 <DEALLOCATTING> 
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (1) : < 256 > [ 768 | 1023 ] -> [NULL]
=> snapshot time : 730 <ALLOCATTING> , with memory size = 79.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 744 <DEALLOCATTING> 
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (1) : < 256 > [ 768 | 1023 ] -> [NULL]
=> snapshot time : 744 <ALLOCATTING> , with memory size = 79.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 767 <DEALLOCATTING> 
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (1) : < 256 > [ 768 | 1023 ] -> [NULL]
=> snapshot time : 767 <ALLOCATTING> , with memory size = 79.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 783 <DEALLOCATTING> 
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (1) : < 256 > [ 768 | 1023 ] -> [NULL]
=> snapshot time : 783 <ALLOCATTING> , with memory size = 79.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 786 <DEALLOCATTING> 
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (1) : < 256 > [ 768 | 1023 ] -> [NULL]
=> snapshot time : 786 <ALLOCATTING> , with memory size = 79.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 803 <DEALLOCATTING> 
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (1) : < 256 > [ 768 | 1023 ] -> [NULL]
=> snapshot time : 803 <ALLOCATTING> , with memory size = 79.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 821 <DEALLOCATTING> 
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (1) : < 256 > [ 768 | 1023 ] -> [NULL]
=> snapshot time : 821 <ALLOCATTING> , with memory size = 79.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 825 <DEALLOCATTING> 
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (1) : < 256 > [ 768 | 1023 ] -> [NULL]
=> snapshot time : 825 <ALLOCATTING> , with memory size = 79.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 832 <DEALLOCATTING> 
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (1) : < 256 > [ 768 | 1023 ] -> [NULL]
=> snapshot time : 832 <ALLOCATTING> , with memory size = 79.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 840 <DEALLOCATTING> 
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (1) : < 256 > [ 768 | 1023 ] -> [NULL]
=> snapshot time : 840 <ALLOCATTING> , with memory size = 79.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 841 <DEALLOCATTING> 
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (1) : < 256 > [ 768 | 1023 ] -> [NULL]
=> snapshot time : 841 <ALLOCATTING> , with memory size = 79.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 849 <DEALLOCATTING> 
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (1) : < 256 > [ 768 | 1023 ] -> [NULL]
=> snapshot time : 849 <ALLOCATTING> , with memory size = 79.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 876 <DEALLOCATTING> 
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (1) : < 256 > [ 768 | 1023 ] -> [NULL]
=> snapshot time : 876 <ALLOCATTING> , with memory size = 79.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 900 <DEALLOCATTING> 
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (1) : < 256 > [ 768 | 1023 ] -> [NULL]
=> snapshot time : 900 <ALLOCATTING> , with memory size = 79.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 900 <DEALLOCATTING> 
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (1) : < 256 > [ 768 | 1023 ] -> [NULL]
=> snapshot time : 900 <ALLOCATTING> , with memory size = 79.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 923 <DEALLOCATTING> 
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (1) : < 256 > [ 768 | 1023 ] -> [NULL]
=> snapshot time : 923 <ALLOCATTING> , with memory size = 79.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 923 <DEALLOCATTING> 
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (1) : < 256 > [ 768 | 1023 ] -> [NULL]
=> snapshot time : 923 <ALLOCATTING> , with memory size = 207.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (1) : < 128 > [ 896 | 1023 ] -> [NULL]
(8), size -> (0) : 
=> snapshot time : 937 <DEALLOCATTING> 
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (0) : 
(6), size -> (1) : < 64 > [ 576 | 639 ] -> [NULL]
(7), size -> (1) : < 128 > [ 896 | 1023 ] -> [NULL]
